Algorithm Name,Function ID,Dimension,Year,Precision,ERT
ALPS,5,20,2009,1000.0,1.0
ALPS,5,20,2009,10,6437.46666667
ALPS,5,20,2009,0.1,10063.6666667
ALPS,5,20,2009,0.001,11985.0666667
ALPS,5,20,2009,1e-05,13187.6
ALPS,5,20,2009,1e-08,13343.6
ALPS,6,2,2009,1000.0,5.33333333333
ALPS,6,2,2009,10,28.3333333333
ALPS,6,2,2009,0.1,1277.6
ALPS,6,2,2009,0.001,4167.4
ALPS,6,2,2009,1e-05,7516.33333333
ALPS,6,2,2009,1e-08,11641.0666667
ALPS,6,5,2009,1000.0,352.133333333
ALPS,6,5,2009,10,2273.4
ALPS,6,5,2009,0.1,11285.4
ALPS,6,5,2009,0.001,22873.7333333
ALPS,6,5,2009,1e-05,34971.6
ALPS,6,5,2009,1e-08,56521.4666667
ALPS,6,10,2009,1000.0,834.866666667
ALPS,6,10,2009,10,12672.4666667
ALPS,6,10,2009,0.1,41777.5333333
ALPS,6,10,2009,0.001,82269.4666667
ALPS,6,10,2009,1e-05,125656.266667
ALPS,6,10,2009,1e-08,316559.066667
ALPS,6,20,2009,1000.0,4733.8
ALPS,6,20,2009,10,44024.2666667
ALPS,6,20,2009,0.1,156703.0
ALPS,6,20,2009,0.001,378193.6
ALPS,6,20,2009,1e-05,1809364.4
ALPS,6,20,2009,1e-08,inf
ALPS,7,2,2009,1000.0,1.13333333333
ALPS,7,2,2009,10,13.2666666667
ALPS,7,2,2009,0.1,722.466666667
ALPS,7,2,2009,0.001,2433.26666667
ALPS,7,2,2009,1e-05,2433.26666667
ALPS,7,2,2009,1e-08,4733.13333333
ALPS,7,5,2009,1000.0,1.06666666667
ALPS,7,5,2009,10,787.266666667
ALPS,7,5,2009,0.1,6669.93333333
ALPS,7,5,2009,0.001,14144.2666667
ALPS,7,5,2009,1e-05,14144.2666667
ALPS,7,5,2009,1e-08,16784.4666667
ALPS,7,10,2009,1000.0,1.6
ALPS,7,10,2009,10,4345.8
ALPS,7,10,2009,0.1,106610.2
ALPS,7,10,2009,0.001,301287.4
ALPS,7,10,2009,1e-05,301287.4
ALPS,7,10,2009,1e-08,305637.866667
ALPS,7,20,2009,1000.0,53.4
ALPS,7,20,2009,10,40059.8
ALPS,7,20,2009,0.1,8875893.66667
ALPS,7,20,2009,0.001,inf
ALPS,7,20,2009,1e-05,inf
ALPS,7,20,2009,1e-08,inf
ALPS,8,2,2009,1000.0,3.46666666667
ALPS,8,2,2009,10,25.5333333333
ALPS,8,2,2009,0.1,1120.86666667
ALPS,8,2,2009,0.001,4683.53333333
ALPS,8,2,2009,1e-05,8856.4
ALPS,8,2,2009,1e-08,17148.8666667
ALPS,8,5,2009,1000.0,198.266666667
ALPS,8,5,2009,10,3752.6
ALPS,8,5,2009,0.1,34897.4666667
ALPS,8,5,2009,0.001,69252.0
ALPS,8,5,2009,1e-05,103739.6
ALPS,8,5,2009,1e-08,206821.933333
ALPS,8,10,2009,1000.0,2248.66666667
ALPS,8,10,2009,10,13939.1333333
ALPS,8,10,2009,0.1,159736.266667
ALPS,8,10,2009,0.001,342102.866667
ALPS,8,10,2009,1e-05,616171.333333
ALPS,8,10,2009,1e-08,7155481.25
ALPS,8,20,2009,1000.0,7705.93333333
ALPS,8,20,2009,10,199176.666667
ALPS,8,20,2009,0.1,2431458.25
ALPS,8,20,2009,0.001,4319156.45455
ALPS,8,20,2009,1e-05,13695662.2
ALPS,8,20,2009,1e-08,inf
ALPS,9,2,2009,1000.0,3.33333333333
ALPS,9,2,2009,10,32.7333333333
ALPS,9,2,2009,0.1,1225.66666667
ALPS,9,2,2009,0.001,4340.33333333
ALPS,9,2,2009,1e-05,8102.26666667
ALPS,9,2,2009,1e-08,16507.9333333
ALPS,9,5,2009,1000.0,141.0
ALPS,9,5,2009,10,3132.06666667
ALPS,9,5,2009,0.1,28655.0666667
ALPS,9,5,2009,0.001,77744.5333333
ALPS,9,5,2009,1e-05,125319.333333
ALPS,9,5,2009,1e-08,272398.866667
ALPS,9,10,2009,1000.0,1727.66666667
ALPS,9,10,2009,10,13265.9333333
ALPS,9,10,2009,0.1,403617.466667
ALPS,9,10,2009,0.001,2044800.21429
ALPS,9,10,2009,1e-05,5044534.4
ALPS,9,10,2009,1e-08,inf
ALPS,9,20,2009,1000.0,4800.4
ALPS,9,20,2009,10,598574.333333
ALPS,9,20,2009,0.1,inf
ALPS,9,20,2009,0.001,inf
ALPS,9,20,2009,1e-05,inf
ALPS,9,20,2009,1e-08,inf
ALPS,10,2,2009,1000.0,128.533333333
ALPS,10,2,2009,10,1405.2
ALPS,10,2,2009,0.1,8832.66666667
ALPS,10,2,2009,0.001,53002.9333333
ALPS,10,2,2009,1e-05,170233.066667
ALPS,10,2,2009,1e-08,460995.6
ALPS,10,5,2009,1000.0,2968.8
ALPS,10,5,2009,10,30694.7333333
ALPS,10,5,2009,0.1,509943.4
ALPS,10,5,2009,0.001,3293580.84615
ALPS,10,5,2009,1e-05,inf
ALPS,10,5,2009,1e-08,inf
ALPS,10,10,2009,1000.0,27207.1333333
ALPS,10,10,2009,10,1553354.86667
ALPS,10,10,2009,0.1,inf
ALPS,10,10,2009,0.001,inf
ALPS,10,10,2009,1e-05,inf
ALPS,10,10,2009,1e-08,inf
ALPS,10,20,2009,1000.0,616843.8
ALPS,10,20,2009,10,inf
ALPS,10,20,2009,0.1,inf
ALPS,10,20,2009,0.001,inf
ALPS,10,20,2009,1e-05,inf
ALPS,10,20,2009,1e-08,inf
ALPS,11,2,2009,1000.0,162.933333333
ALPS,11,2,2009,10,1226.73333333
ALPS,11,2,2009,0.1,10188.3333333
ALPS,11,2,2009,0.001,59445.6
ALPS,11,2,2009,1e-05,141201.533333
ALPS,11,2,2009,1e-08,478633.533333
ALPS,11,5,2009,1000.0,188.2
ALPS,11,5,2009,10,7671.66666667
ALPS,11,5,2009,0.1,228272.533333
ALPS,11,5,2009,0.001,949246.333333
ALPS,11,5,2009,1e-05,2650352.0
ALPS,11,5,2009,1e-08,inf
ALPS,11,10,2009,1000.0,124.266666667
ALPS,11,10,2009,10,98425.4666667
ALPS,11,10,2009,0.1,1278344.46667
ALPS,11,10,2009,0.001,14373796.2
ALPS,11,10,2009,1e-05,inf
ALPS,11,10,2009,1e-08,inf
ALPS,11,20,2009,1000.0,135.8
ALPS,11,20,2009,10,495137.4
ALPS,11,20,2009,0.1,14046471.6
ALPS,11,20,2009,0.001,inf
ALPS,11,20,2009,1e-05,inf
ALPS,11,20,2009,1e-08,inf
ALPS,12,2,2009,1000.0,193.933333333
ALPS,12,2,2009,10,1354.86666667
ALPS,12,2,2009,0.1,5740.73333333
ALPS,12,2,2009,0.001,13661.3333333
ALPS,12,2,2009,1e-05,34561.2
ALPS,12,2,2009,1e-08,109567.066667
ALPS,12,5,2009,1000.0,6654.0
ALPS,12,5,2009,10,13685.4
ALPS,12,5,2009,0.1,199633.933333
ALPS,12,5,2009,0.001,1943785.0
ALPS,12,5,2009,1e-05,34976752.0
ALPS,12,5,2009,1e-08,inf
ALPS,12,10,2009,1000.0,18198.0
ALPS,12,10,2009,10,29258.2666667
ALPS,12,10,2009,0.1,255299.2
ALPS,12,10,2009,0.001,8424611.28571
ALPS,12,10,2009,1e-05,70720358.0
ALPS,12,10,2009,1e-08,inf
ALPS,12,20,2009,1000.0,40606.6
ALPS,12,20,2009,10,90884.2666667
ALPS,12,20,2009,0.1,2298082.38462
ALPS,12,20,2009,0.001,inf
ALPS,12,20,2009,1e-05,inf
ALPS,12,20,2009,1e-08,inf
ALPS,13,2,2009,1000.0,1.33333333333
ALPS,13,2,2009,10,295.2
ALPS,13,2,2009,0.1,4762.66666667
ALPS,13,2,2009,0.001,21194.3333333
ALPS,13,2,2009,1e-05,355031.0
ALPS,13,2,2009,1e-08,8769840.85714
ALPS,13,5,2009,1000.0,7.66666666667
ALPS,13,5,2009,10,6573.2
ALPS,13,5,2009,0.1,70164.3333333
ALPS,13,5,2009,0.001,741062.466667
ALPS,13,5,2009,1e-05,6831192.75
ALPS,13,5,2009,1e-08,inf
ALPS,13,10,2009,1000.0,263.8
ALPS,13,10,2009,10,20430.6666667
ALPS,13,10,2009,0.1,379429.4
ALPS,13,10,2009,0.001,5275395.0
ALPS,13,10,2009,1e-05,inf
ALPS,13,10,2009,1e-08,inf
ALPS,13,20,2009,1000.0,3137.8
ALPS,13,20,2009,10,63421.1333333
ALPS,13,20,2009,0.1,1155569.2
ALPS,13,20,2009,0.001,inf
ALPS,13,20,2009,1e-05,inf
ALPS,13,20,2009,1e-08,inf
ALPS,14,2,2009,1000.0,1.0
ALPS,14,2,2009,10,2.2
ALPS,14,2,2009,0.1,232.333333333
ALPS,14,2,2009,0.001,2834.4
ALPS,14,2,2009,1e-05,8812.33333333
ALPS,14,2,2009,1e-08,110013.666667
ALPS,14,5,2009,1000.0,1.0
ALPS,14,5,2009,10,24.3333333333
ALPS,14,5,2009,0.1,3831.46666667
ALPS,14,5,2009,0.001,10376.0666667
ALPS,14,5,2009,1e-05,99294.1333333
ALPS,14,5,2009,1e-08,36879968.5
ALPS,14,10,2009,1000.0,1.0
ALPS,14,10,2009,10,701.133333333
ALPS,14,10,2009,0.1,9765.53333333
ALPS,14,10,2009,0.001,33442.3333333
ALPS,14,10,2009,1e-05,937053.733333
ALPS,14,10,2009,1e-08,inf
ALPS,14,20,2009,1000.0,1.0
ALPS,14,20,2009,10,3076.73333333
ALPS,14,20,2009,0.1,23658.4666667
ALPS,14,20,2009,0.001,178319.0
ALPS,14,20,2009,1e-05,inf
ALPS,14,20,2009,1e-08,inf
ALPS,15,2,2009,1000.0,1.06666666667
ALPS,15,2,2009,10,99.0
ALPS,15,2,2009,0.1,3489.86666667
ALPS,15,2,2009,0.001,6303.2
ALPS,15,2,2009,1e-05,9712.66666667
ALPS,15,2,2009,1e-08,14603.8666667
ALPS,15,5,2009,1000.0,1.06666666667
ALPS,15,5,2009,10,4714.53333333
ALPS,15,5,2009,0.1,507874.8
ALPS,15,5,2009,0.001,514655.333333
ALPS,15,5,2009,1e-05,524585.466667
ALPS,15,5,2009,1e-08,554544.0
ALPS,15,10,2009,1000.0,1.93333333333
ALPS,15,10,2009,10,71188.3333333
ALPS,15,10,2009,0.1,inf
ALPS,15,10,2009,0.001,inf
ALPS,15,10,2009,1e-05,inf
ALPS,15,10,2009,1e-08,inf
ALPS,15,20,2009,1000.0,21.0666666667
ALPS,15,20,2009,10,inf
ALPS,15,20,2009,0.1,inf
ALPS,15,20,2009,0.001,inf
ALPS,15,20,2009,1e-05,inf
ALPS,15,20,2009,1e-08,inf
ALPS,16,2,2009,1000.0,1.0
ALPS,16,2,2009,10,24.9333333333
ALPS,16,2,2009,0.1,1594.33333333
ALPS,16,2,2009,0.001,6765.66666667
ALPS,16,2,2009,1e-05,14073.0
ALPS,16,2,2009,1e-08,26083.4666667
ALPS,16,5,2009,1000.0,1.0
ALPS,16,5,2009,10,306.666666667
ALPS,16,5,2009,0.1,16725.7333333
ALPS,16,5,2009,0.001,139245.0
ALPS,16,5,2009,1e-05,1822901.42857
ALPS,16,5,2009,1e-08,34860396.0
ALPS,16,10,2009,1000.0,1.0
ALPS,16,10,2009,10,3472.73333333
ALPS,16,10,2009,0.1,881526.066667
ALPS,16,10,2009,0.001,inf
ALPS,16,10,2009,1e-05,inf
ALPS,16,10,2009,1e-08,inf
ALPS,16,20,2009,1000.0,1.0
ALPS,16,20,2009,10,12913.0
ALPS,16,20,2009,0.1,inf
ALPS,16,20,2009,0.001,inf
ALPS,16,20,2009,1e-05,inf
ALPS,16,20,2009,1e-08,inf
ALPS,17,2,2009,1000.0,1.0
ALPS,17,2,2009,10,4.0
ALPS,17,2,2009,0.1,2142.73333333
ALPS,17,2,2009,0.001,6797.33333333
ALPS,17,2,2009,1e-05,12547.7333333
ALPS,17,2,2009,1e-08,19892.2666667
ALPS,17,5,2009,1000.0,1.0
ALPS,17,5,2009,10,12.7333333333
ALPS,17,5,2009,0.1,7197.73333333
ALPS,17,5,2009,0.001,25905.8
ALPS,17,5,2009,1e-05,130250.333333
ALPS,17,5,2009,1e-08,6116676.125
ALPS,17,10,2009,1000.0,1.0
ALPS,17,10,2009,10,93.5333333333
ALPS,17,10,2009,0.1,41942.3333333
ALPS,17,10,2009,0.001,11171371.8
ALPS,17,10,2009,1e-05,inf
ALPS,17,10,2009,1e-08,inf
ALPS,17,20,2009,1000.0,1.0
ALPS,17,20,2009,10,1192.0
ALPS,17,20,2009,0.1,20275888.0
ALPS,17,20,2009,0.001,inf
ALPS,17,20,2009,1e-05,inf
ALPS,17,20,2009,1e-08,inf
ALPS,18,2,2009,1000.0,1.13333333333
ALPS,18,2,2009,10,30.4
ALPS,18,2,2009,0.1,3647.73333333
ALPS,18,2,2009,0.001,11456.6
ALPS,18,2,2009,1e-05,23406.9333333
ALPS,18,2,2009,1e-08,50619.2
ALPS,18,5,2009,1000.0,1.0
ALPS,18,5,2009,10,841.666666667
ALPS,18,5,2009,0.1,13281.0
ALPS,18,5,2009,0.001,459054.6
ALPS,18,5,2009,1e-05,4593575.8
ALPS,18,5,2009,1e-08,inf
ALPS,18,10,2009,1000.0,1.0
ALPS,18,10,2009,10,3180.46666667
ALPS,18,10,2009,0.1,423532.133333
ALPS,18,10,2009,0.001,inf
ALPS,18,10,2009,1e-05,inf
ALPS,18,10,2009,1e-08,inf
ALPS,18,20,2009,1000.0,1.06666666667
ALPS,18,20,2009,10,9156.2
ALPS,18,20,2009,0.1,inf
ALPS,18,20,2009,0.001,inf
ALPS,18,20,2009,1e-05,inf
ALPS,18,20,2009,1e-08,inf
ALPS,19,2,2009,1000.0,1.0
ALPS,19,2,2009,10,5.53333333333
ALPS,19,2,2009,0.1,457.733333333
ALPS,19,2,2009,0.001,4980.26666667
ALPS,19,2,2009,1e-05,10437.1333333
ALPS,19,2,2009,1e-08,18059.0
ALPS,19,5,2009,1000.0,1.0
ALPS,19,5,2009,10,57.5333333333
ALPS,19,5,2009,0.1,121468.666667
ALPS,19,5,2009,0.001,4742845.2
ALPS,19,5,2009,1e-05,4873797.4
ALPS,19,5,2009,1e-08,5128488.9
ALPS,19,10,2009,1000.0,1.0
ALPS,19,10,2009,10,405.066666667
ALPS,19,10,2009,0.1,5824173.5
ALPS,19,10,2009,0.001,inf
ALPS,19,10,2009,1e-05,inf
ALPS,19,10,2009,1e-08,inf
ALPS,19,20,2009,1000.0,1.0
ALPS,19,20,2009,10,1248.0
ALPS,19,20,2009,0.1,inf
ALPS,19,20,2009,0.001,inf
ALPS,19,20,2009,1e-05,inf
ALPS,19,20,2009,1e-08,inf
ALPS,20,2,2009,1000.0,4.53333333333
ALPS,20,2,2009,10,11.6666666667
ALPS,20,2,2009,0.1,2258.33333333
ALPS,20,2,2009,0.001,4562.66666667
ALPS,20,2,2009,1e-05,7236.8
ALPS,20,2,2009,1e-08,11562.7333333
ALPS,20,5,2009,1000.0,71.8
ALPS,20,5,2009,10,289.4
ALPS,20,5,2009,0.1,48261.4666667
ALPS,20,5,2009,0.001,55220.8666667
ALPS,20,5,2009,1e-05,61961.0
ALPS,20,5,2009,1e-08,75439.9333333
ALPS,20,10,2009,1000.0,787.583333333
ALPS,20,10,2009,10,1939.25
ALPS,20,10,2009,0.1,5503580.78571
ALPS,20,10,2009,0.001,5521615.21429
ALPS,20,10,2009,1e-05,5557811.28571
ALPS,20,10,2009,1e-08,5842070.35714
ALPS,20,20,2009,1000.0,2666.93333333
ALPS,20,20,2009,10,4352.4
ALPS,20,20,2009,0.1,inf
ALPS,20,20,2009,0.001,inf
ALPS,20,20,2009,1e-05,inf
ALPS,20,20,2009,1e-08,inf
ALPS,21,2,2009,1000.0,1.0
ALPS,21,2,2009,10,1.93333333333
ALPS,21,2,2009,0.1,315.933333333
ALPS,21,2,2009,0.001,1433.6
ALPS,21,2,2009,1e-05,2517.06666667
ALPS,21,2,2009,1e-08,4745.2
ALPS,21,5,2009,1000.0,1.0
ALPS,21,5,2009,10,139.466666667
ALPS,21,5,2009,0.1,4844.93333333
ALPS,21,5,2009,0.001,7990.73333333
ALPS,21,5,2009,1e-05,11143.0
ALPS,21,5,2009,1e-08,15693.8666667
ALPS,21,10,2009,1000.0,1.0
ALPS,21,10,2009,10,2743.33333333
ALPS,21,10,2009,0.1,22145.4666667
ALPS,21,10,2009,0.001,30579.4
ALPS,21,10,2009,1e-05,40339.8666667
ALPS,21,10,2009,1e-08,58729.3333333
ALPS,21,20,2009,1000.0,1.0
ALPS,21,20,2009,10,8117.33333333
ALPS,21,20,2009,0.1,98058.4
ALPS,21,20,2009,0.001,122127.866667
ALPS,21,20,2009,1e-05,153105.066667
ALPS,21,20,2009,1e-08,204755.733333
ALPS,22,2,2009,1000.0,1.0
ALPS,22,2,2009,10,5.86666666667
ALPS,22,2,2009,0.1,174.266666667
ALPS,22,2,2009,0.001,1290.86666667
ALPS,22,2,2009,1e-05,2658.33333333
ALPS,22,2,2009,1e-08,5828.06666667
ALPS,22,5,2009,1000.0,1.0
ALPS,22,5,2009,10,465.6
ALPS,22,5,2009,0.1,8271.33333333
ALPS,22,5,2009,0.001,16954.4666667
ALPS,22,5,2009,1e-05,24987.1333333
ALPS,22,5,2009,1e-08,41656.6666667
ALPS,22,10,2009,1000.0,1.0
ALPS,22,10,2009,10,3255.2
ALPS,22,10,2009,0.1,75286.4666667
ALPS,22,10,2009,0.001,122957.6
ALPS,22,10,2009,1e-05,197781.733333
ALPS,22,10,2009,1e-08,339457.8
ALPS,22,20,2009,1000.0,1.0
ALPS,22,20,2009,10,8857.8
ALPS,22,20,2009,0.1,1863489.41667
ALPS,22,20,2009,0.001,2143662.25
ALPS,22,20,2009,1e-05,4940877.7
ALPS,22,20,2009,1e-08,74956330.0
ALPS,23,2,2009,1000.0,1.0
ALPS,23,2,2009,10,11.2
ALPS,23,2,2009,0.1,20207.0
ALPS,23,2,2009,0.001,58819.0666667
ALPS,23,2,2009,1e-05,1412350.30769
ALPS,23,2,2009,1e-08,70108809.0
ALPS,23,5,2009,1000.0,1.0
ALPS,23,5,2009,10,6.475
ALPS,23,5,2009,0.1,406529.575
ALPS,23,5,2009,0.001,98157353.5
ALPS,23,5,2009,1e-05,inf
ALPS,23,5,2009,1e-08,inf
ALPS,23,10,2009,1000.0,1.0
ALPS,23,10,2009,10,4.73333333333
ALPS,23,10,2009,0.1,17227688.5
ALPS,23,10,2009,0.001,inf
ALPS,23,10,2009,1e-05,inf
ALPS,23,10,2009,1e-08,inf
ALPS,23,20,2009,1000.0,1.0
ALPS,23,20,2009,10,5.93333333333
ALPS,23,20,2009,0.1,inf
ALPS,23,20,2009,0.001,inf
ALPS,23,20,2009,1e-05,inf
ALPS,23,20,2009,1e-08,inf
ALPS,24,2,2009,1000.0,1.0
ALPS,24,2,2009,10,18.2666666667
ALPS,24,2,2009,0.1,33966.5333333
ALPS,24,2,2009,0.001,69762.5333333
ALPS,24,2,2009,1e-05,74576.6
ALPS,24,2,2009,1e-08,81423.9333333
ALPS,24,5,2009,1000.0,1.0
ALPS,24,5,2009,10,13150.5333333
ALPS,24,5,2009,0.1,inf
ALPS,24,5,2009,0.001,inf
ALPS,24,5,2009,1e-05,inf
ALPS,24,5,2009,1e-08,inf
ALPS,24,10,2009,1000.0,1.0
ALPS,24,10,2009,10,995739.466667
ALPS,24,10,2009,0.1,inf
ALPS,24,10,2009,0.001,inf
ALPS,24,10,2009,1e-05,inf
ALPS,24,10,2009,1e-08,inf
ALPS,24,20,2009,1000.0,1.0
ALPS,24,20,2009,10,inf
ALPS,24,20,2009,0.1,inf
ALPS,24,20,2009,0.001,inf
ALPS,24,20,2009,1e-05,inf
ALPS,24,20,2009,1e-08,inf
AMaLGaM-Full-Free,1,2,2009,1000.0,1.0
AMaLGaM-Full-Free,1,2,2009,10,3.8
AMaLGaM-Full-Free,1,2,2009,0.1,61.1333333333
AMaLGaM-Full-Free,1,2,2009,0.001,135.333333333
AMaLGaM-Full-Free,1,2,2009,1e-05,193.4
AMaLGaM-Full-Free,1,2,2009,1e-08,331.266666667
AMaLGaM-Full-Free,1,5,2009,1000.0,1.0
AMaLGaM-Full-Free,1,5,2009,10,60.5333333333
AMaLGaM-Full-Free,1,5,2009,0.1,349.8
AMaLGaM-Full-Free,1,5,2009,0.001,711.266666667
AMaLGaM-Full-Free,1,5,2009,1e-05,1065.86666667
AMaLGaM-Full-Free,1,5,2009,1e-08,1639.46666667
AMaLGaM-Full-Free,1,10,2009,1000.0,1.0
AMaLGaM-Full-Free,1,10,2009,10,395.533333333
AMaLGaM-Full-Free,1,10,2009,0.1,1666.13333333
AMaLGaM-Full-Free,1,10,2009,0.001,2992.66666667
AMaLGaM-Full-Free,1,10,2009,1e-05,4333.53333333
AMaLGaM-Full-Free,1,10,2009,1e-08,6056.26666667
AMaLGaM-Full-Free,1,20,2009,1000.0,1.0
AMaLGaM-Full-Free,1,20,2009,10,2379.13333333
AMaLGaM-Full-Free,1,20,2009,0.1,8543.53333333
AMaLGaM-Full-Free,1,20,2009,0.001,13953.2666667
AMaLGaM-Full-Free,1,20,2009,1e-05,18998.9333333
AMaLGaM-Full-Free,1,20,2009,1e-08,25801.8666667
AMaLGaM-Full-Free,2,2,2009,1000.0,48.6666666667
AMaLGaM-Full-Free,2,2,2009,10,102.466666667
AMaLGaM-Full-Free,2,2,2009,0.1,184.066666667
AMaLGaM-Full-Free,2,2,2009,0.001,265.4
AMaLGaM-Full-Free,2,2,2009,1e-05,354.333333333
AMaLGaM-Full-Free,2,2,2009,1e-08,489.6
AMaLGaM-Full-Free,2,5,2009,1000.0,251.0
AMaLGaM-Full-Free,2,5,2009,10,590.333333333
AMaLGaM-Full-Free,2,5,2009,0.1,1105.06666667
AMaLGaM-Full-Free,2,5,2009,0.001,1565.93333333
AMaLGaM-Full-Free,2,5,2009,1e-05,1940.2
AMaLGaM-Full-Free,2,5,2009,1e-08,2501.8
AMaLGaM-Full-Free,2,10,2009,1000.0,1273.53333333
AMaLGaM-Full-Free,2,10,2009,10,2868.86666667
AMaLGaM-Full-Free,2,10,2009,0.1,4789.86666667
AMaLGaM-Full-Free,2,10,2009,0.001,6127.53333333
AMaLGaM-Full-Free,2,10,2009,1e-05,7456.6
AMaLGaM-Full-Free,2,10,2009,1e-08,9648.8
AMaLGaM-Full-Free,2,20,2009,1000.0,8026.6
AMaLGaM-Full-Free,2,20,2009,10,13609.2
AMaLGaM-Full-Free,2,20,2009,0.1,19138.8
AMaLGaM-Full-Free,2,20,2009,0.001,24344.0
AMaLGaM-Full-Free,2,20,2009,1e-05,29646.2666667
AMaLGaM-Full-Free,2,20,2009,1e-08,37730.6666667
AMaLGaM-Full-Free,3,2,2009,1000.0,1.06666666667
