"algorithm","fun","dimension","ert","precision","rank"
"iAMALGAM",1,2,116.6,1e-04,16
"(1 4_m) CMA-ES",1,2,118.6,1e-04,17
"DIRECT",1,2,121,1e-04,18
"(1 4) CMA-ES",1,2,122.3333,1e-04,19
"IPOP-ACTCMA-ES",1,2,134.3333,1e-04,20
"IPOP-CMA-ES",1,2,140.7333,1e-04,21
"BIPOP-CMA-ES",1,2,143.4667,1e-04,22
"IPOP-SEP-CMA-ES",1,2,144.4667,1e-04,23
"(1 2_m^s) CMA-ES",1,2,151.2667,1e-04,24
"AMALGAM",1,2,165.7333,1e-04,25
"(1 2_m) CMA-ES",1,2,171.7333,1e-04,26
"(1 2^s) CMA-ES",1,2,173.8667,1e-04,27
"G3PCX",1,2,174.9333,1e-04,28
"(1 2) CMA-ES",1,2,196.8667,1e-04,29
"SPSA",1,2,232.5333,1e-04,30
"VNS",1,2,258.6667,1e-04,31
"GLOBAL",1,2,328.2667,1e-04,32
"PM-AdapSS-DE",1,2,339.2,1e-04,33
"DEuniform",1,2,356.4,1e-04,34
"DE-F-AUC",1,2,356.7333,1e-04,35
"Cauchy-EDA",1,2,380.5333,1e-04,36
"CMA-EGS",1,2,408.9333,1e-04,37
"Line Search - STEP",1,2,410.6,1e-04,38
"DASA",1,2,455.8667,1e-04,39
"EDA-PSO",1,2,481,1e-04,40
"Artificial Bee Colony",1,2,508.5484,1e-04,41
"MA-LS-CHAIN",1,2,512.2667,1e-04,42
"NBC-CMA",1,2,529.2667,1e-04,43
"MOS",1,2,572.6667,1e-04,44
"DE-PSO",1,2,576,1e-04,45
"BAYEDA",1,2,857.9286,1e-04,46
"PSO",1,2,1175.6,1e-04,47
"RCGA",1,2,2145.867,1e-04,48
"ALPS",1,2,2649.2,1e-04,49
"PSO_Bounds",1,2,2734.2,1e-04,50
"oPOEMS",1,2,6111.8,1e-04,51
"POEMS",1,2,6514.467,1e-04,52
"Simple GA",1,2,10879.67,1e-04,53
"nPOEMS",1,2,24889.4,1e-04,54
"RANDOMSEARCH",1,2,287055.4,1e-04,55
"AVGNEWUOA",1,2,6,1e-05,1
"NEWUOA",1,2,6.2,1e-05,2
"BFGS",1,2,7,1e-05,3.5
"FULLNEWUOA",1,2,7,1e-05,3.5
"MCS",1,2,15.8,1e-05,5
"Line Search - fminbnd",1,2,24.73333,1e-05,6
"fminsearch",1,2,44.66667,1e-05,7
"Nelder-Doerr",1,2,45.86667,1e-05,8
"Local Search - Rosenbrock",1,2,52.53333,1e-05,9
"(1 4_m^s) CMA-ES",1,2,107.9333,1e-05,10
"(1 4^s) CMA-ES",1,2,119.8667,1e-05,11
"(1+2_m^s) CMA-ES",1,2,120.9333,1e-05,12
"(1+1) CMA-ES",1,2,125.7333,1e-05,13
"(mu+lambda) CMA-ES",1,2,130.2667,1e-05,14
"iAMALGAM",1,2,134.6667,1e-05,15
"One-Fifth Variant3",1,2,135.1333,1e-05,16
"(1 4_m) CMA-ES",1,2,138.4667,1e-05,17
"(1 4) CMA-ES",1,2,147.6,1e-05,18
"IPOP-ACTCMA-ES",1,2,162.4667,1e-05,19
"IPOP-SEP-CMA-ES",1,2,167.7333,1e-05,20
"IPOP-CMA-ES",1,2,169.0667,1e-05,21
"BIPOP-CMA-ES",1,2,172.1333,1e-05,22
"(1 2_m^s) CMA-ES",1,2,181.5333,1e-05,23
"DIRECT",1,2,191.6,1e-05,24
"AMALGAM",1,2,193.4,1e-05,25
"G3PCX",1,2,201.5333,1e-05,26
"(1 2_m) CMA-ES",1,2,211.6667,1e-05,27
"(1 2^s) CMA-ES",1,2,225.3333,1e-05,28
"(1 2) CMA-ES",1,2,235.2,1e-05,29
"SPSA",1,2,286,1e-05,30
"VNS",1,2,289.8667,1e-05,31
"GLOBAL",1,2,335.6667,1e-05,32
"Line Search - STEP",1,2,412.2,1e-05,33
"PM-AdapSS-DE",1,2,413.0667,1e-05,34
"DE-F-AUC",1,2,428.6,1e-05,35
"DEuniform",1,2,439.4,1e-05,36
"Cauchy-EDA",1,2,452.0667,1e-05,37
"MA-LS-CHAIN",1,2,551.7333,1e-05,38
"DASA",1,2,567.4,1e-05,39
"CMA-EGS",1,2,579.8,1e-05,40
"NBC-CMA",1,2,585.8667,1e-05,41
"Artificial Bee Colony",1,2,652.2258,1e-05,42
"EDA-PSO",1,2,664.0667,1e-05,43
"DE-PSO",1,2,749.2,1e-05,44
"MOS",1,2,756.8,1e-05,45
"BAYEDA",1,2,946.3571,1e-05,46
"PSO",1,2,1527.867,1e-05,47
"RCGA",1,2,2889.933,1e-05,48
"ALPS",1,2,3812.2,1e-05,49
"PSO_Bounds",1,2,4645.733,1e-05,50
"POEMS",1,2,7930.2,1e-05,51
"oPOEMS",1,2,8644.067,1e-05,52
"Simple GA",1,2,15598.87,1e-05,53
"nPOEMS",1,2,38698.4,1e-05,54
"RANDOMSEARCH",1,2,4059570,1e-05,55
"AVGNEWUOA",1,2,6,1e-06,1
"NEWUOA",1,2,6.2,1e-06,2
"BFGS",1,2,7,1e-06,3.5
"FULLNEWUOA",1,2,7,1e-06,3.5
"MCS",1,2,15.8,1e-06,5
"Line Search - fminbnd",1,2,24.73333,1e-06,6
"fminsearch",1,2,52,1e-06,7
"Nelder-Doerr",1,2,53.46667,1e-06,8
"Local Search - Rosenbrock",1,2,58.93333,1e-06,9
"(1 4_m^s) CMA-ES",1,2,121.9333,1e-06,10
"(1+2_m^s) CMA-ES",1,2,134.9333,1e-06,11
"(1 4^s) CMA-ES",1,2,140.2,1e-06,12
"(1+1) CMA-ES",1,2,144,1e-06,13
"(mu+lambda) CMA-ES",1,2,149.4667,1e-06,14
"One-Fifth Variant3",1,2,155.3333,1e-06,15
"iAMALGAM",1,2,164.3333,1e-06,16
"(1 4_m) CMA-ES",1,2,166.8667,1e-06,17
"(1 4) CMA-ES",1,2,167.2667,1e-06,18
"IPOP-SEP-CMA-ES",1,2,190.8,1e-06,19
"IPOP-ACTCMA-ES",1,2,196.4,1e-06,20
"IPOP-CMA-ES",1,2,200.8,1e-06,21
"BIPOP-CMA-ES",1,2,203.2,1e-06,22
"(1 2_m^s) CMA-ES",1,2,217.3333,1e-06,23
"AMALGAM",1,2,239.1333,1e-06,24
"G3PCX",1,2,243.8667,1e-06,25
"(1 2_m) CMA-ES",1,2,247,1e-06,26
"DIRECT",1,2,259.6,1e-06,27
"(1 2^s) CMA-ES",1,2,262.6,1e-06,28
"(1 2) CMA-ES",1,2,269,1e-06,29
"VNS",1,2,324.8667,1e-06,30
"GLOBAL",1,2,342.2,1e-06,31
"SPSA",1,2,342.4,1e-06,32
"Line Search - STEP",1,2,414.1333,1e-06,33
"PM-AdapSS-DE",1,2,493.2,1e-06,34
"DE-F-AUC",1,2,523,1e-06,35
"DEuniform",1,2,551.7333,1e-06,36
"Cauchy-EDA",1,2,552.3333,1e-06,37
"MA-LS-CHAIN",1,2,577.2667,1e-06,38
"NBC-CMA",1,2,640.6667,1e-06,39
"DASA",1,2,658.5333,1e-06,40
"CMA-EGS",1,2,699.4667,1e-06,41
"Artificial Bee Colony",1,2,780.7419,1e-06,42
"DE-PSO",1,2,837.2,1e-06,43
"MOS",1,2,904.9333,1e-06,44
"EDA-PSO",1,2,953,1e-06,45
"BAYEDA",1,2,1124.214,1e-06,46
"PSO",1,2,2272.2,1e-06,47
"RCGA",1,2,3784.667,1e-06,48
"ALPS",1,2,4940.067,1e-06,49
"PSO_Bounds",1,2,5892.533,1e-06,50
"POEMS",1,2,9557.667,1e-06,51
"oPOEMS",1,2,10213.6,1e-06,52
"Simple GA",1,2,20664.6,1e-06,53
"nPOEMS",1,2,60765.67,1e-06,54
"AVGNEWUOA",1,2,6,1e-07,1
"NEWUOA",1,2,6.2,1e-07,2
"BFGS",1,2,7,1e-07,3.5
"FULLNEWUOA",1,2,7,1e-07,3.5
"MCS",1,2,15.8,1e-07,5
"Line Search - fminbnd",1,2,24.73333,1e-07,6
"fminsearch",1,2,58.6,1e-07,7
"Nelder-Doerr",1,2,59.73333,1e-07,8
"Local Search - Rosenbrock",1,2,65.06667,1e-07,9
"(1 4_m^s) CMA-ES",1,2,147,1e-07,10
"(1 4^s) CMA-ES",1,2,156,1e-07,11
"(1+2_m^s) CMA-ES",1,2,157.0667,1e-07,12
"(1+1) CMA-ES",1,2,167.1333,1e-07,13
"(mu+lambda) CMA-ES",1,2,171.7667,1e-07,14
"One-Fifth Variant3",1,2,182,1e-07,15
"iAMALGAM",1,2,185.5333,1e-07,16
"(1 4_m) CMA-ES",1,2,187.5333,1e-07,17
"(1 4) CMA-ES",1,2,195.6,1e-07,18
"IPOP-CMA-ES",1,2,221.9333,1e-07,19
"IPOP-ACTCMA-ES",1,2,222.0667,1e-07,20
"IPOP-SEP-CMA-ES",1,2,228.1333,1e-07,21
"BIPOP-CMA-ES",1,2,232.9333,1e-07,22
"(1 2_m^s) CMA-ES",1,2,240.6667,1e-07,23
"G3PCX",1,2,277.2667,1e-07,24
"AMALGAM",1,2,277.3333,1e-07,25
"(1 2_m) CMA-ES",1,2,297.6667,1e-07,26
"(1 2^s) CMA-ES",1,2,301.5333,1e-07,27
"(1 2) CMA-ES",1,2,329.9333,1e-07,28
"DIRECT",1,2,333.2,1e-07,29
"GLOBAL",1,2,349.6667,1e-07,30
"VNS",1,2,362.6667,1e-07,31
"SPSA",1,2,377.2,1e-07,32
"Line Search - STEP",1,2,415.2667,1e-07,33
"PM-AdapSS-DE",1,2,565.0667,1e-07,34
"MA-LS-CHAIN",1,2,604.5333,1e-07,35
"Cauchy-EDA",1,2,606.2667,1e-07,36
"DEuniform",1,2,616.9333,1e-07,37
"DE-F-AUC",1,2,623.4667,1e-07,38
"NBC-CMA",1,2,717.2667,1e-07,39
"DASA",1,2,746.7333,1e-07,40
"CMA-EGS",1,2,774.6667,1e-07,41
"Artificial Bee Colony",1,2,935.8065,1e-07,42
"DE-PSO",1,2,1005.4,1e-07,43
"MOS",1,2,1059.533,1e-07,44
"BAYEDA",1,2,1249.071,1e-07,45
"EDA-PSO",1,2,1272.067,1e-07,46
"PSO",1,2,2832,1e-07,47
"RCGA",1,2,4552,1e-07,48
"ALPS",1,2,5816.067,1e-07,49
"PSO_Bounds",1,2,7336.533,1e-07,50
"oPOEMS",1,2,12184.27,1e-07,51
"POEMS",1,2,12413.07,1e-07,52
"Simple GA",1,2,26760.47,1e-07,53
"nPOEMS",1,2,75054.4,1e-07,54
"AVGNEWUOA",1,2,6,1e-08,1
"NEWUOA",1,2,6.2,1e-08,2
"BFGS",1,2,7,1e-08,3.5
"FULLNEWUOA",1,2,7,1e-08,3.5
"MCS",1,2,15.8,1e-08,5
"Line Search - fminbnd",1,2,24.73333,1e-08,6
"fminsearch",1,2,66.53333,1e-08,7
"Nelder-Doerr",1,2,67.66667,1e-08,8
"Local Search - Rosenbrock",1,2,71.46667,1e-08,9
"(1 4_m^s) CMA-ES",1,2,161.5333,1e-08,10
"(1 4^s) CMA-ES",1,2,180.7333,1e-08,11
"(1+2_m^s) CMA-ES",1,2,181.6667,1e-08,12
"(1+1) CMA-ES",1,2,186.8,1e-08,13
"(mu+lambda) CMA-ES",1,2,189,1e-08,14
"One-Fifth Variant3",1,2,198.9333,1e-08,15
"iAMALGAM",1,2,214.2,1e-08,16
"(1 4) CMA-ES",1,2,222.2,1e-08,17
"(1 4_m) CMA-ES",1,2,222.3333,1e-08,18
"IPOP-SEP-CMA-ES",1,2,253.0667,1e-08,19
"IPOP-ACTCMA-ES",1,2,255.4667,1e-08,20
"IPOP-CMA-ES",1,2,257.2667,1e-08,21
"BIPOP-CMA-ES",1,2,261.8,1e-08,22
"(1 2_m^s) CMA-ES",1,2,269.2667,1e-08,23
"G3PCX",1,2,313.2,1e-08,24
"(1 2^s) CMA-ES",1,2,323.6,1e-08,25
"AMALGAM",1,2,331.2667,1e-08,26
"GLOBAL",1,2,356.4667,1e-08,27
"(1 2) CMA-ES",1,2,363.1333,1e-08,28
"(1 2_m) CMA-ES",1,2,366.8667,1e-08,29
"VNS",1,2,381.7333,1e-08,30
"SPSA",1,2,406.4,1e-08,31
"Line Search - STEP",1,2,417.1333,1e-08,32
"DIRECT",1,2,429,1e-08,33
"MA-LS-CHAIN",1,2,621.4667,1e-08,34
"PM-AdapSS-DE",1,2,673.3333,1e-08,35
"Cauchy-EDA",1,2,695.3333,1e-08,36
"DE-F-AUC",1,2,700.0667,1e-08,37
"DEuniform",1,2,726.6,1e-08,38
"NBC-CMA",1,2,769.7333,1e-08,39
"DASA",1,2,802.8,1e-08,40
"CMA-EGS",1,2,821.3333,1e-08,41
"Artificial Bee Colony",1,2,1096.355,1e-08,42
"DE-PSO",1,2,1149.8,1e-08,43
"MOS",1,2,1221.533,1e-08,44
"BAYEDA",1,2,1401,1e-08,45
"EDA-PSO",1,2,1785.4,1e-08,46
"PSO",1,2,3506,1e-08,47
"RCGA",1,2,5427.333,1e-08,48
"ALPS",1,2,6900.933,1e-08,49
"PSO_Bounds",1,2,8808.067,1e-08,50
"oPOEMS",1,2,14675.53,1e-08,51
"POEMS",1,2,14842.07,1e-08,52
"Simple GA",1,2,33467,1e-08,53
"nPOEMS",1,2,85985.73,1e-08,54
"NEWUOA",1,3,8,0.001,1
"AVGNEWUOA",1,3,9,0.001,2.5
"BFGS",1,3,9,0.001,2.5
"FULLNEWUOA",1,3,11,0.001,4
"MCS",1,3,19.2,0.001,5
"Line Search - fminbnd",1,3,44.66667,0.001,6
"fminsearch",1,3,53.2,0.001,7
"Nelder-Doerr",1,3,55.2,0.001,8
"Local Search - Rosenbrock",1,3,59.8,0.001,9
"(1 4_m^s) CMA-ES",1,3,94.8,0.001,10
"One-Fifth Variant3",1,3,114.9333,0.001,11
"(1 4^s) CMA-ES",1,3,116,0.001,12
"(1+2_m^s) CMA-ES",1,3,122.9333,0.001,13
"(mu+lambda) CMA-ES",1,3,123.7333,0.001,14
"(1+1) CMA-ES",1,3,126.0667,0.001,15
"(1 4_m) CMA-ES",1,3,138.4,0.001,16
"(1 4) CMA-ES",1,3,150.6,0.001,17
"(1 2_m^s) CMA-ES",1,3,155.9333,0.001,18
"IPOP-SEP-CMA-ES",1,3,156.6667,0.001,19
"SPSA",1,3,161.2667,0.001,20
"IPOP-ACTCMA-ES",1,3,182.8667,0.001,21
"BIPOP-CMA-ES",1,3,183.4667,0.001,22
"IPOP-CMA-ES",1,3,184.4,0.001,23
"G3PCX",1,3,188.6,0.001,24
"(1 2_m) CMA-ES",1,3,189.9333,0.001,25
"iAMALGAM",1,3,192.4,0.001,26
"DIRECT",1,3,217.4,0.001,27
"(1 2^s) CMA-ES",1,3,222.6,0.001,28
"(1 2) CMA-ES",1,3,244.1333,0.001,29
"AMALGAM",1,3,297.7333,0.001,30
"VNS",1,3,299.4,0.001,31
"GLOBAL",1,3,335.6667,0.001,32
"NBC-CMA",1,3,527.6,0.001,33
"CMA-EGS",1,3,552.2667,0.001,34
"MA-LS-CHAIN",1,3,557.2,0.001,35
"DASA",1,3,605.9333,0.001,36
"DE-F-AUC",1,3,607.7333,0.001,37
"PM-AdapSS-DE",1,3,616.2667,0.001,38
"DEuniform",1,3,635.2,0.001,39
"Artificial Bee Colony",1,3,703.4,0.001,40
"DE-PSO",1,3,767.5333,0.001,41
"MOS",1,3,797.8667,0.001,42
"Line Search - STEP",1,3,808.9333,0.001,43
"Cauchy-EDA",1,3,914.4,0.001,44
"EDA-PSO",1,3,971.4,0.001,45
"BAYEDA",1,3,1258,0.001,46
"PSO",1,3,1267.733,0.001,47
"RCGA",1,3,2143.2,0.001,48
"PSO_Bounds",1,3,3466.867,0.001,49
"ALPS",1,3,3573.733,0.001,50
"oPOEMS",1,3,7689.467,0.001,51
"POEMS",1,3,8128.733,0.001,52
"Simple GA",1,3,16993.73,0.001,53
"nPOEMS",1,3,31381.07,0.001,54
"RANDOMSEARCH",1,3,10235060,0.001,55
"NEWUOA",1,3,8,1e-04,1
"AVGNEWUOA",1,3,9,1e-04,2.5
"BFGS",1,3,9,1e-04,2.5
"FULLNEWUOA",1,3,11,1e-04,4
"MCS",1,3,19.2,1e-04,5
"Line Search - fminbnd",1,3,46.66667,1e-04,6
"fminsearch",1,3,66.73333,1e-04,7
"Local Search - Rosenbrock",1,3,67.73333,1e-04,8
"Nelder-Doerr",1,3,69.53333,1e-04,9
"(1 4_m^s) CMA-ES",1,3,122.6667,1e-04,10
"(1 4^s) CMA-ES",1,3,144.4,1e-04,11
"One-Fifth Variant3",1,3,146.2667,1e-04,12
"(1+2_m^s) CMA-ES",1,3,153.8,1e-04,13
"(mu+lambda) CMA-ES",1,3,155.4667,1e-04,14
"(1+1) CMA-ES",1,3,156.6,1e-04,15
"(1 4_m) CMA-ES",1,3,175.4,1e-04,16
"(1 2_m^s) CMA-ES",1,3,185.5333,1e-04,17
"(1 4) CMA-ES",1,3,190.2667,1e-04,18
"SPSA",1,3,191,1e-04,19
"IPOP-SEP-CMA-ES",1,3,211.2,1e-04,20
"IPOP-ACTCMA-ES",1,3,223.1333,1e-04,21
"G3PCX",1,3,231.4667,1e-04,22
"BIPOP-CMA-ES",1,3,232.8,1e-04,23
"iAMALGAM",1,3,239.8667,1e-04,24
"IPOP-CMA-ES",1,3,241.6,1e-04,25
"(1 2_m) CMA-ES",1,3,246.0667,1e-04,26
"(1 2^s) CMA-ES",1,3,274.3333,1e-04,27
"DIRECT",1,3,305.4,1e-04,28
"(1 2) CMA-ES",1,3,321.0667,1e-04,29
"GLOBAL",1,3,348.9333,1e-04,30
"AMALGAM",1,3,359.7333,1e-04,31
"VNS",1,3,364.2,1e-04,32
"MA-LS-CHAIN",1,3,603.4667,1e-04,33
"NBC-CMA",1,3,631,1e-04,34
"DASA",1,3,713.8,1e-04,35
"DE-F-AUC",1,3,770.8667,1e-04,36
"PM-AdapSS-DE",1,3,788.3333,1e-04,37
"Line Search - STEP",1,3,810.9333,1e-04,38
"DEuniform",1,3,836.4,1e-04,39
"CMA-EGS",1,3,855.0667,1e-04,40
"Artificial Bee Colony",1,3,947.4,1e-04,41
"DE-PSO",1,3,956.7333,1e-04,42
"MOS",1,3,1025.267,1e-04,43
"Cauchy-EDA",1,3,1126.6,1e-04,44
"BAYEDA",1,3,1476.714,1e-04,45
"PSO",1,3,1849.6,1e-04,46
"EDA-PSO",1,3,2227.267,1e-04,47
"RCGA",1,3,3974.267,1e-04,48
"PSO_Bounds",1,3,5199.8,1e-04,49
"ALPS",1,3,5306.6,1e-04,50
"POEMS",1,3,10423.67,1e-04,51
"oPOEMS",1,3,10475.13,1e-04,52
"Simple GA",1,3,25230.67,1e-04,53
"nPOEMS",1,3,52541.47,1e-04,54
"NEWUOA",1,3,8,1e-05,1
"AVGNEWUOA",1,3,9,1e-05,2.5
"BFGS",1,3,9,1e-05,2.5
"FULLNEWUOA",1,3,11,1e-05,4
"MCS",1,3,19.2,1e-05,5
"Line Search - fminbnd",1,3,46.86667,1e-05,6
"fminsearch",1,3,78.8,1e-05,7
"Local Search - Rosenbrock",1,3,80.13333,1e-05,8
"Nelder-Doerr",1,3,81.33333,1e-05,9
"(1 4_m^s) CMA-ES",1,3,158.1333,1e-05,10
"One-Fifth Variant3",1,3,176.4,1e-05,11
"(1+2_m^s) CMA-ES",1,3,180.5333,1e-05,12
"(1+1) CMA-ES",1,3,182.2,1e-05,13
"(mu+lambda) CMA-ES",1,3,183,1e-05,14
"(1 4^s) CMA-ES",1,3,189.6,1e-05,15
"SPSA",1,3,213.8,1e-05,16
"(1 4_m) CMA-ES",1,3,217.6,1e-05,17
"(1 4) CMA-ES",1,3,230.2,1e-05,18
"(1 2_m^s) CMA-ES",1,3,241.8667,1e-05,19
"IPOP-SEP-CMA-ES",1,3,251.6,1e-05,20
"IPOP-ACTCMA-ES",1,3,266.6667,1e-05,21
"BIPOP-CMA-ES",1,3,269.6,1e-05,22
"G3PCX",1,3,271,1e-05,23
"IPOP-CMA-ES",1,3,281.5333,1e-05,24
"iAMALGAM",1,3,284.0667,1e-05,25
"(1 2_m) CMA-ES",1,3,301.4667,1e-05,26
"(1 2^s) CMA-ES",1,3,332.3333,1e-05,27
"GLOBAL",1,3,361.2,1e-05,28
"(1 2) CMA-ES",1,3,370.5333,1e-05,29
"VNS",1,3,402.3333,1e-05,30
"DIRECT",1,3,417,1e-05,31
"AMALGAM",1,3,429.8667,1e-05,32
"MA-LS-CHAIN",1,3,658.3333,1e-05,33
"NBC-CMA",1,3,722.8667,1e-05,34
"DASA",1,3,806.3333,1e-05,35
"Line Search - STEP",1,3,812.6667,1e-05,36
"DE-F-AUC",1,3,941,1e-05,37
"PM-AdapSS-DE",1,3,963.8,1e-05,38
"DEuniform",1,3,1011.667,1e-05,39
"CMA-EGS",1,3,1112.8,1e-05,40
"DE-PSO",1,3,1174.333,1e-05,41
"Artificial Bee Colony",1,3,1174.8,1e-05,42
"MOS",1,3,1217.667,1e-05,43
"Cauchy-EDA",1,3,1300.2,1e-05,44
"BAYEDA",1,3,2259.615,1e-05,45
"PSO",1,3,2456.8,1e-05,46
"EDA-PSO",1,3,3152.4,1e-05,47
"RCGA",1,3,5544.933,1e-05,48
"PSO_Bounds",1,3,6834.867,1e-05,49
"ALPS",1,3,6897.6,1e-05,50
"oPOEMS",1,3,13021.6,1e-05,51
"POEMS",1,3,13886.93,1e-05,52
"Simple GA",1,3,33471.73,1e-05,53
"nPOEMS",1,3,75355.4,1e-05,54
"NEWUOA",1,3,8,1e-06,1
"AVGNEWUOA",1,3,9,1e-06,2.5
"BFGS",1,3,9,1e-06,2.5
"FULLNEWUOA",1,3,11,1e-06,4
"MCS",1,3,19.2,1e-06,5
"Line Search - fminbnd",1,3,46.86667,1e-06,6
"fminsearch",1,3,86.33333,1e-06,7
"Nelder-Doerr",1,3,93,1e-06,8
"Local Search - Rosenbrock",1,3,93.33333,1e-06,9
"(1 4_m^s) CMA-ES",1,3,180.2667,1e-06,10
"(1+2_m^s) CMA-ES",1,3,204.0667,1e-06,11
"One-Fifth Variant3",1,3,205.2,1e-06,12
"(1 4^s) CMA-ES",1,3,212.4667,1e-06,13
"(1+1) CMA-ES",1,3,215.6667,1e-06,14
"(mu+lambda) CMA-ES",1,3,218.2,1e-06,15
"(1 4_m) CMA-ES",1,3,239.4,1e-06,16
"SPSA",1,3,242.8,1e-06,17
"(1 4) CMA-ES",1,3,260.7333,1e-06,18
"(1 2_m^s) CMA-ES",1,3,281.1333,1e-06,19
"IPOP-SEP-CMA-ES",1,3,288.0667,1e-06,20
"IPOP-ACTCMA-ES",1,3,315.8667,1e-06,21
"BIPOP-CMA-ES",1,3,321.8667,1e-06,22
"G3PCX",1,3,323.1333,1e-06,23
"IPOP-CMA-ES",1,3,329.8667,1e-06,24
"iAMALGAM",1,3,334.9333,1e-06,25
"(1 2_m) CMA-ES",1,3,352.7333,1e-06,26
"GLOBAL",1,3,372.8,1e-06,27
"(1 2^s) CMA-ES",1,3,383.9333,1e-06,28
"VNS",1,3,441.9333,1e-06,29
"(1 2) CMA-ES",1,3,467.9333,1e-06,30
"AMALGAM",1,3,511,1e-06,31
"DIRECT",1,3,582.6,1e-06,32
"MA-LS-CHAIN",1,3,725.4,1e-06,33
"NBC-CMA",1,3,801.4,1e-06,34
"Line Search - STEP",1,3,813.7333,1e-06,35
"DASA",1,3,951.2,1e-06,36
"DE-F-AUC",1,3,1120.8,1e-06,37
"PM-AdapSS-DE",1,3,1152.467,1e-06,38
"DEuniform",1,3,1215.4,1e-06,39
"CMA-EGS",1,3,1317.4,1e-06,40
"DE-PSO",1,3,1349.267,1e-06,41
"Artificial Bee Colony",1,3,1410.267,1e-06,42.5
"MOS",1,3,1410.267,1e-06,42.5
"Cauchy-EDA",1,3,1504.067,1e-06,44
"BAYEDA",1,3,2521.385,1e-06,45
"PSO",1,3,3193.067,1e-06,46
"EDA-PSO",1,3,4464.733,1e-06,47
"RCGA",1,3,7375.533,1e-06,48
"ALPS",1,3,8177.667,1e-06,49
"PSO_Bounds",1,3,9379.933,1e-06,50
"oPOEMS",1,3,16222.53,1e-06,51
"POEMS",1,3,17266.87,1e-06,52
"Simple GA",1,3,43447.53,1e-06,53
"nPOEMS",1,3,100149.7,1e-06,54
